ID,Age,Income,Education,Marital_Status,Total_Spending,Total_Children,Total_Purchases,Total_Campaigns_Accepted,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN
8557,42,51381.5,Graduation,Single,46,1,5,0,0,1,0
8375,56,55954.0,PhD,Married,518,1,16,0,0,1,0
6853,42,75777.0,Master,Single,1438,0,20,3,1,0,0
3076,49,66653.0,Graduation,Together,612,2,18,0,1,1,0
1012,72,61823.0,Graduation,Single,884,1,20,0,1,0,0
6518,73,67680.0,PhD,Widow,606,1,18,0,1,0,0
4137,76,70666.0,Graduation,Together,1076,0,15,0,1,0,0
8082,53,25721.0,Graduation,Married,34,1,4,1,0,1,0
1386,57,32474.0,Graduation,Together,11,2,3,0,0,1,0
9369,45,88194.0,2n Cycle,Single,1274,1,31,3,1,0,0
4477,66,69096.0,Graduation,Together,653,1,17,0,1,0,0
1357,54,74854.0,Graduation,Together,1562,3,12,0,1,0,0
1402,70,66991.0,Master,Married,1253,0,18,0,1,0,0
10629,51,51381.5,2n Cycle,Married,109,1,6,0,0,1,0
6312,65,65031.0,Graduation,Married,863,1,26,0,1,0,0
8132,49,60631.0,PhD,Married,661,2,19,1,0,1,0
1050,72,28332.0,Graduation,Married,65,0,7,0,0,0,0
5846,47,40246.0,Graduation,Divorced,13,1,3,0,0,1,0
1859,52,75251.0,Master,Married,1890,0,18,1,1,0,0
7503,48,75825.0,Graduation,Single,2209,0,22,2,1,0,0
10401,48,26326.0,2n Cycle,Together,18,0,3,0,0,1,0
1618,59,56046.0,Graduation,Together,692,0,19,2,1,0,0
3332,39,29760.0,Graduation,Single,165,1,8,0,0,1,0
2261,55,26304.0,Graduation,Married,16,1,3,0,0,1,0
5346,51,23559.0,2n Cycle,Married,79,1,6,0,0,1,0
4119,61,38620.0,Master,Together,318,0,10,0,0,0,0
535,37,81361.0,Graduation,Divorced,778,0,26,0,1,0,0
5268,64,29440.0,Graduation,Married,56,2,5,0,0,1,0
273,54,36138.0,Master,Married,151,2,8,1,0,1,0
4452,67,50388.0,Graduation,Single,372,1,13,3,0,0,0
8504,51,79593.0,Graduation,Married,1366,0,18,1,1,0,0
771,57,54178.0,Graduation,Together,194,1,9,0,0,1,0
8996,67,51381.5,PhD,Married,603,3,17,0,0,1,0
9235,67,51381.5,Graduation,Single,18,2,3,0,0,1,0
5798,51,51381.5,Master,Together,985,0,14,0,1,0,0
11178,52,42394.0,Master,Single,32,1,4,0,0,1,0
2230,54,23626.0,PhD,Married,43,1,7,0,0,1,0
7516,41,30096.0,Graduation,Married,45,1,5,0,0,1,0
7247,64,47916.0,Graduation,Widow,606,1,17,1,1,0,0
11100,52,51813.0,Graduation,Divorced,63,2,5,0,0,1,0
4646,73,78497.0,2n Cycle,Married,978,0,24,1,1,0,0
3037,41,50150.0,PhD,Married,410,0,14,0,0,1,0
1473,64,47823.0,2n Cycle,Single,72,1,5,0,0,0,0
1016,65,34554.0,PhD,Single,55,1,5,0,0,0,0
4518,45,85693.0,Graduation,Together,1169,1,25,0,1,0,0
9370,79,65846.0,PhD,Married,1120,0,15,0,1,0,0
8908,65,87195.0,Graduation,Married,1097,0,19,1,1,0,0
8373,45,24594.0,Basic,Together,29,1,4,0,0,1,0
7533,60,49096.0,Graduation,Married,187,2,9,0,0,1,0
2683,55,52413.0,Graduation,Married,910,2,22,0,1,1,0
3629,46,38557.0,Graduation,Single,145,1,7,0,0,1,0
10991,64,89058.0,Master,Married,850,0,13,0,1,0,0
5077,45,77298.0,Graduation,Together,969,1,23,0,1,0,0
7431,33,68126.0,PhD,Single,1820,0,16,2,1,0,0
3267,61,57288.0,Master,Together,608,1,17,1,1,0,0
999,33,86037.0,Graduation,Single,730,0,24,3,1,0,0
9215,44,43974.0,PhD,Married,551,1,16,0,0,1,0
2286,62,50785.0,Graduation,Single,114,2,6,0,0,1,0
1592,54,90765.0,Graduation,Married,1724,0,15,2,1,0,0
367,46,36550.0,2n Cycle,Married,577,1,15,0,0,0,0
5234,57,30753.0,2n Cycle,Together,81,2,5,0,0,1,0
9862,55,21918.0,Graduation,Together,33,1,5,0,0,1,0
9805,71,56129.0,Master,Together,660,1,18,0,1,0,0
6205,57,32557.0,Master,Single,80,1,6,1,0,1,0
8442,39,19510.0,Master,Married,30,2,4,0,0,1,0
7386,48,30992.0,Graduation,Divorced,43,1,4,0,0,1,0
1491,59,71488.0,2n Cycle,Together,559,0,14,0,1,0,0
11071,40,79607.0,Graduation,Single,1923,0,15,1,1,0,0
3381,71,54348.0,Master,Married,90,2,6,0,0,1,0
8268,63,51381.5,PhD,Married,404,1,14,0,0,1,0
11051,68,77376.0,PhD,Together,661,2,19,0,1,0,0
8026,72,62998.0,Graduation,Married,463,1,14,0,0,0,0
433,66,61331.0,Master,Alone,632,2,18,0,0,0,0
9597,55,73448.0,Graduation,Married,725,0,18,0,1,0,0
1295,61,51381.5,Graduation,Married,725,1,18,0,1,0,0
5290,60,41551.0,PhD,Married,279,2,11,0,0,1,0
1685,57,62981.0,PhD,Together,1482,0,22,1,1,0,0
5342,48,9548.0,Basic,Divorced,29,1,4,0,0,1,0
9579,65,33762.0,PhD,Married,106,3,6,0,0,1,0
7660,51,35860.0,PhD,Alone,49,2,4,2,0,1,0
1461,59,36921.0,PhD,Divorced,38,2,5,0,0,1,0
821,32,92859.0,Master,Single,2077,0,21,0,1,0,0
11084,48,65104.0,Master,Together,1053,1,15,1,1,0,0
8690,62,86111.0,Graduation,Married,1385,0,22,0,1,0,0
2937,50,68352.0,PhD,Single,871,1,22,0,1,0,0
9701,36,41883.0,Graduation,Together,312,1,9,0,0,1,0
9949,48,59809.0,Graduation,Married,877,2,12,0,0,1,0
10837,49,23957.0,Graduation,Married,68,1,5,1,0,1,0
3120,43,38547.0,Graduation,Together,22,1,3,0,0,1,0
5885,51,35688.0,2n Cycle,Married,211,3,9,0,0,1,0
4050,58,49605.0,Master,Married,127,0,7,0,0,0,0
3830,71,59354.0,Master,Married,459,2,15,0,0,0,0
7987,55,65747.0,Graduation,Married,460,1,15,1,0,1,0
7798,52,46344.0,2n Cycle,Together,429,1,13,0,0,1,0
92,36,34176.0,Graduation,Alone,89,1,7,0,0,1,0
7055,72,61010.0,PhD,Together,1021,1,24,0,1,0,0
10240,75,69372.0,Graduation,Together,1381,0,20,3,1,0,0
3025,66,49967.0,Graduation,Single,306,1,12,0,0,0,0
9283,46,60199.0,Graduation,Single,18,3,3,0,0,1,0
9970,47,55375.0,Graduation,Together,162,1,8,0,0,0,0
2730,69,80317.0,Graduation,Single,1231,0,17,0,1,0,0
2795,66,30523.0,Master,Single,13,3,3,0,0,1,0
9260,79,70356.0,PhD,Married,1706,0,25,0,1,0,0
8182,40,23228.0,Graduation,Married,121,1,7,0,0,1,0
10095,49,74165.0,PhD,Divorced,1293,0,19,0,1,0,0
4370,58,43482.0,Graduation,Together,88,3,6,0,0,1,0
10573,71,62551.0,Graduation,Divorced,421,0,17,1,1,0,0
3712,65,52332.0,Graduation,Divorced,259,0,11,1,0,0,0
6637,36,66951.0,Graduation,Single,1117,0,14,0,1,0,0
3152,67,26091.0,Graduation,Together,89,2,6,0,0,1,0
5610,59,33456.0,Graduation,Together,36,2,4,0,0,1,0
6460,42,28718.0,Graduation,Married,57,1,5,0,0,1,0
1349,54,50447.0,Graduation,Married,148,2,7,0,0,1,0
1880,65,53537.0,PhD,Together,93,2,6,0,0,1,0
641,57,52074.0,Graduation,Single,119,1,6,1,0,1,0
8717,49,80427.0,PhD,Married,1835,1,27,0,1,0,0
10314,76,83837.0,PhD,Married,1318,0,24,3,1,0,0
10854,54,38853.0,PhD,Married,45,2,5,0,0,1,0
10492,65,38285.0,Graduation,Together,10,3,3,0,0,1,0
6935,73,78497.0,2n Cycle,Married,978,0,24,1,1,0,0
7698,48,51650.0,PhD,Married,191,1,9,0,0,1,0
3559,36,16248.0,2n Cycle,Married,57,1,6,0,0,1,0
10562,78,66835.0,Master,Married,1033,0,23,0,1,0,0
10796,40,30477.0,Master,Married,66,1,5,0,0,1,0
2563,63,28249.0,Basic,Married,43,0,5,0,0,1,0
3518,41,25271.0,Graduation,Married,50,1,4,0,0,1,0
5823,54,32303.0,PhD,Single,39,1,5,0,0,1,0
3934,58,61286.0,Graduation,Married,608,1,16,0,1,0,0
6982,48,74068.0,Graduation,Married,1581,0,23,0,1,0,0
6431,60,45759.0,PhD,Married,68,2,5,0,0,1,0
9733,46,24882.0,Basic,Together,80,1,4,1,0,1,0
5602,35,66973.0,PhD,Together,1282,0,27,0,1,0,0
1324,36,38872.0,Graduation,Married,91,1,6,0,0,1,0
326,51,51148.0,Graduation,Married,315,2,12,0,0,1,0
7224,47,31353.0,Graduation,Married,31,2,4,0,0,1,0
6999,44,69661.0,Master,Married,834,0,22,0,1,0,0
9938,70,80067.0,Graduation,Married,1600,0,16,1,1,0,0
6422,70,86718.0,Graduation,Married,1270,0,16,0,1,0,0
3182,51,46854.0,PhD,Single,263,2,9,2,0,1,0
7300,72,69142.0,Graduation,Divorced,535,1,16,1,1,0,0
10424,56,75922.0,Graduation,Single,1295,0,17,0,1,0,0
8727,46,63693.0,Graduation,Divorced,1150,1,26,0,1,0,0
1030,59,40637.0,PhD,Single,38,2,4,0,0,1,0
624,40,18890.0,Master,Single,35,0,3,2,0,1,0
5176,36,29604.0,Graduation,Together,53,1,4,1,0,1,0
5552,61,48721.0,Master,Divorced,293,2,11,0,0,1,0
868,58,44794.0,Graduation,Married,65,1,5,0,0,1,0
380,70,64497.0,Graduation,Divorced,1804,1,24,2,1,0,0
2677,68,46097.0,Graduation,Together,241,1,10,0,0,1,0
6521,70,77972.0,Graduation,Together,1101,0,19,0,1,0,0
6927,56,44377.0,PhD,Married,264,2,11,0,0,1,0
2877,50,46014.0,Master,Together,541,2,16,0,0,1,0
0,39,70951.0,Graduation,Married,1198,0,16,0,1,0,0
1584,47,41443.0,Graduation,Married,482,1,14,0,0,1,0
7264,46,52195.0,2n Cycle,Single,17,3,3,0,0,1,0
6274,76,83790.0,Master,Married,1615,0,24,2,1,0,0
1377,70,44551.0,Master,Widow,285,1,10,0,0,0,0
454,44,69508.0,Graduation,Together,1135,1,26,0,1,0,0
1755,36,45204.0,2n Cycle,Together,114,1,6,0,0,1,0
2075,55,72460.0,Graduation,Married,1047,0,15,0,1,0,0
4785,54,77622.0,PhD,Together,714,2,20,0,1,0,0
9076,44,30732.0,PhD,Married,185,1,9,0,0,1,0
7079,62,63887.0,Graduation,Divorced,1245,1,27,0,1,0,0
4653,46,42011.0,Graduation,Together,189,1,8,0,0,1,0
7375,48,51369.0,Graduation,Together,576,1,14,0,0,1,0
709,72,51537.0,Graduation,Divorced,1103,1,15,0,1,0,0
460,52,79930.0,PhD,Married,1753,0,16,0,1,0,0
3726,38,34320.0,PhD,Together,17,1,3,0,0,1,0
6798,58,37070.0,Graduation,Single,433,2,14,1,0,1,0
5341,62,81975.0,2n Cycle,Divorced,1588,1,13,1,1,0,0
1606,53,38590.0,Graduation,Together,22,1,3,0,0,1,0
9617,73,15033.0,Graduation,Single,19,0,4,0,0,1,0
3233,59,62745.0,PhD,Married,1117,1,26,0,1,0,0
89,49,22212.0,2n Cycle,Married,69,1,6,0,0,1,0
2936,42,23661.0,Master,Together,23,1,4,0,0,1,0
9449,66,79761.0,PhD,Single,605,1,18,0,1,0,0
7297,51,7500.0,Graduation,Single,57,1,7,0,0,1,0
313,56,73455.0,Graduation,Widow,2088,0,21,1,1,0,0
9940,66,64961.0,Graduation,Together,1009,1,14,0,1,0,0
10735,53,22804.0,Graduation,Single,26,1,4,0,0,1,0
9529,34,73687.0,Graduation,Married,1627,0,21,2,1,0,0
6439,66,61074.0,Graduation,Married,1102,1,24,0,1,0,0
7411,60,31686.0,PhD,Married,17,2,4,0,0,1,0
2176,52,80134.0,Graduation,Married,1690,1,14,4,1,0,0
9265,71,75027.0,Graduation,Married,1390,1,19,0,1,0,0
8867,36,67546.0,PhD,Married,2126,0,19,0,1,0,0
8932,55,65176.0,Master,Together,1531,1,21,0,1,0,0
10236,49,31160.0,Master,Single,64,1,5,0,0,1,0
6340,39,29938.0,Graduation,Single,26,1,4,0,0,1,0
2227,66,26490.0,2n Cycle,Together,210,0,9,0,0,1,0
10992,57,75702.0,Graduation,Together,1148,2,21,0,1,0,0
5304,50,30899.0,PhD,Single,33,1,4,0,0,1,0
309,63,63342.0,PhD,Together,1101,1,16,1,1,0,0
3406,60,45989.0,Graduation,Single,322,1,12,0,0,1,0
2661,60,18701.0,Graduation,Single,44,2,6,0,0,1,0
3153,67,40737.0,PhD,Single,17,3,3,0,0,1,0
10264,45,15287.0,Graduation,Divorced,31,1,4,2,0,1,0
1184,56,69674.0,PhD,Divorced,845,2,22,0,1,0,0
4200,54,44159.0,Master,Married,275,1,11,0,0,1,0
9396,46,37717.0,PhD,Married,25,1,3,0,0,1,0
2387,72,43776.0,Master,Together,275,2,11,1,0,1,0
6690,58,38179.0,Master,Married,90,2,7,0,0,1,0
1225,61,80124.0,Graduation,Married,1495,0,18,1,1,0,0
9703,54,38097.0,PhD,Married,184,2,7,2,0,1,0
291,54,72940.0,Graduation,Married,981,0,12,0,1,0,0
4557,54,22070.0,Graduation,Together,67,1,6,0,0,1,0
2379,71,69267.0,Graduation,Single,1635,0,12,1,1,0,0
5726,41,31788.0,Master,Single,60,1,7,0,0,1,0
3066,49,61905.0,PhD,Together,231,1,10,0,0,1,0
6336,64,29315.0,Graduation,Married,48,2,6,0,0,1,0
10967,61,33378.0,Graduation,Divorced,99,2,6,0,0,1,0
2304,61,66313.0,PhD,Together,770,1,21,0,1,0,0
3445,68,60714.0,Graduation,Single,957,0,21,1,1,0,0
7828,43,77882.0,Master,Together,818,0,11,0,1,0,0
3762,38,69867.0,PhD,Single,925,0,16,2,1,0,0
4391,56,63841.0,Master,Divorced,908,1,21,0,1,0,0
4669,43,24480.0,Basic,Married,102,1,7,0,0,1,0
10144,48,51369.0,Graduation,Together,576,1,14,0,0,1,0
8652,78,37760.0,Graduation,Together,317,0,11,0,0,1,0
1672,50,65640.0,PhD,Together,461,1,14,0,1,1,0
8962,49,44319.0,Master,Married,37,2,5,0,0,1,0
9974,50,30631.0,Graduation,Married,70,1,6,0,0,1,0
10983,72,75278.0,Graduation,Together,930,0,22,0,1,0,0
8148,68,50898.0,Master,Together,859,2,20,0,1,1,0
10102,58,79946.0,Graduation,Widow,1478,0,21,0,1,0,0
4697,75,35416.0,Master,Divorced,390,0,13,0,0,1,0
9262,40,32414.0,2n Cycle,Together,52,0,4,1,0,1,0
7254,55,38361.0,Graduation,Together,137,1,7,0,0,1,0
4543,44,82497.0,Graduation,Married,1919,0,18,1,1,0,0
4927,53,16626.0,Graduation,Together,68,2,6,0,0,1,0
10451,59,29672.0,Graduation,Together,25,2,3,0,0,1,0
2926,72,55951.0,Master,Together,1374,1,20,2,1,0,0
2874,36,35388.0,2n Cycle,Divorced,32,1,4,0,0,1,0
9738,38,42386.0,Master,Together,100,1,6,0,0,1,0
7119,42,68627.0,Graduation,Single,825,0,11,0,1,0,0
3924,59,57912.0,PhD,Divorced,916,1,23,1,1,0,0
5827,66,35246.0,Graduation,Divorced,62,2,7,0,0,1,0
5596,68,58821.0,2n Cycle,Together,728,1,20,0,1,0,0
10812,46,46377.0,PhD,Married,90,1,6,0,0,1,0
1717,36,39747.0,Graduation,Single,273,1,10,0,0,1,0
9491,40,23976.0,Graduation,Together,66,1,7,0,0,1,0
9274,63,80950.0,Master,Married,1213,0,22,1,1,0,0
6609,58,27038.0,Graduation,Widow,107,0,6,1,0,1,0
6963,77,77457.0,Graduation,Single,1157,0,17,1,1,0,0
4440,60,64100.0,Master,Married,546,1,17,1,1,1,0
1379,32,42670.0,Master,Together,241,0,10,0,0,1,0
10032,48,12571.0,Graduation,Divorced,53,1,7,0,0,1,0
2826,57,22574.0,Graduation,Married,37,3,5,0,0,1,0
2437,35,51381.5,Graduation,Married,1611,0,23,2,1,0,0
6320,48,70893.0,Master,Single,1508,0,22,0,1,0,0
3050,58,54198.0,Graduation,Married,235,2,10,0,0,1,0
231,68,28839.0,Master,Together,32,2,5,0,0,1,0
2392,52,40321.0,Graduation,Married,102,2,6,0,0,1,0
9478,39,66503.0,Graduation,Single,401,1,13,0,0,0,0
113,73,30833.0,Graduation,Married,28,2,4,0,0,1,0
2863,54,51381.5,Graduation,Single,1052,3,15,2,0,1,0
1802,53,64795.0,Graduation,Married,680,1,18,0,1,0,0
520,50,34421.0,Graduation,Married,30,1,3,0,0,1,0
8275,59,47025.0,PhD,Divorced,20,2,3,0,0,1,0
9750,63,64325.0,PhD,Divorced,1307,1,18,0,1,0,0
2607,71,40464.0,Graduation,Single,630,1,18,0,0,0,0
7214,67,62187.0,Graduation,Married,1283,0,17,0,1,0,0
5835,48,14849.0,PhD,Divorced,65,1,6,0,0,1,0
3896,40,27255.0,Graduation,Married,37,1,4,0,0,1,0
10350,74,54432.0,PhD,Married,38,3,4,0,0,1,0
7786,38,29999.0,PhD,Single,160,1,8,0,0,1,0
2861,41,24072.0,Graduation,Single,23,1,3,0,0,1,0
663,35,33996.0,PhD,Single,71,0,5,0,0,1,0
10675,68,66334.0,PhD,Married,1161,1,17,1,1,0,0
2521,53,35178.0,Master,Married,59,1,4,2,0,1,0
9592,41,22010.0,Graduation,Together,33,1,5,0,0,1,0
10151,64,62204.0,Graduation,Divorced,946,2,21,0,1,0,0
7381,56,75693.0,Graduation,Divorced,1442,0,21,4,1,0,0
4099,52,30675.0,Graduation,Married,62,1,4,0,0,1,0
9560,59,83003.0,Graduation,Together,1674,0,21,2,1,0,0
10172,36,68655.0,Graduation,Single,1538,0,20,0,1,0,0
11191,38,41411.0,Graduation,Divorced,139,0,7,0,0,1,0
9707,55,55212.0,PhD,Married,1182,1,17,2,1,0,0
6245,74,59292.0,PhD,Together,507,1,16,0,1,0,0
8234,51,27190.0,Basic,Together,18,1,3,2,0,1,0
1411,72,82623.0,Graduation,Divorced,940,0,15,0,1,0,0
8553,59,44300.0,Graduation,Married,42,2,4,0,0,1,0
1826,54,84835.0,Graduation,Divorced,1190,0,14,1,1,0,0
8842,53,30372.0,Graduation,Widow,44,2,5,0,0,1,0
11030,48,33181.0,Master,Married,16,1,3,1,0,1,0
2579,67,71113.0,Graduation,Married,835,1,22,0,1,0,0
175,38,71952.0,Graduation,Married,1443,1,20,2,1,0,0
9185,58,69759.0,PhD,Single,1029,0,15,1,1,0,0
11056,50,72099.0,Graduation,Married,1188,0,17,0,1,0,0
9365,48,60000.0,PhD,Single,1277,1,19,0,1,0,0
6201,46,38643.0,Graduation,Single,49,2,5,0,0,1,0
2061,69,50737.0,Graduation,Married,99,1,6,1,0,1,0
6184,55,68462.0,PhD,Married,1670,0,14,0,1,0,0
6142,81,65073.0,Master,Married,900,0,13,0,1,0,0
4107,76,46681.0,PhD,Together,425,2,14,0,0,1,0
7274,67,78618.0,Graduation,Married,2153,0,21,1,1,0,0
9336,55,62187.0,PhD,Widow,636,1,18,0,1,0,0
2958,46,28442.0,Graduation,Married,57,2,7,0,0,1,0
933,46,37717.0,PhD,Married,25,1,3,0,0,1,0
5837,57,51479.0,Graduation,Married,494,2,15,0,0,1,0
10704,55,54803.0,Graduation,Single,693,1,17,0,1,0,0
5125,64,79530.0,Graduation,Married,1348,0,25,0,1,0,0
4432,48,31615.0,Graduation,Divorced,51,1,5,0,0,1,0
5955,62,72025.0,Graduation,Together,1932,0,15,0,1,0,0
2928,49,52614.0,PhD,Single,990,1,14,0,1,0,0
5680,40,35684.0,2n Cycle,Married,30,1,4,0,0,1,0
10313,49,48178.0,Graduation,Married,254,2,10,0,0,1,0
2557,54,29548.0,Master,Single,29,1,4,1,0,1,0
1245,58,63810.0,Graduation,Single,1371,1,19,1,1,0,0
1519,52,38578.0,PhD,Single,73,2,6,1,0,1,0
10703,49,46098.0,Master,Single,120,2,7,0,0,1,0
1726,54,22585.0,Graduation,Single,81,0,4,2,0,1,0
4459,35,30279.0,Graduation,Single,37,1,4,0,0,1,0
1729,63,66426.0,PhD,Together,1377,1,18,0,1,0,0
1517,55,30822.0,Graduation,Single,51,1,4,0,0,1,0
2098,55,33581.0,PhD,Married,17,2,3,0,0,1,0
9543,39,19986.0,Graduation,Married,22,1,3,0,0,1,0
6878,70,27421.0,Graduation,Widow,324,0,11,0,0,1,0
3310,51,35688.0,2n Cycle,Married,211,3,9,0,0,1,0
2724,43,36143.0,Master,Single,19,1,3,0,0,1,0
948,53,10245.0,Graduation,Single,41,1,5,0,0,1,0
6720,56,43795.0,Master,Together,492,1,14,2,0,1,0
6202,64,63381.0,Graduation,Together,1005,1,22,0,1,0,0
2066,75,38823.0,Graduation,Together,114,1,6,0,0,1,0
9799,56,83664.0,PhD,Divorced,1173,2,16,0,1,0,0
8318,45,90300.0,Graduation,Together,1738,0,19,1,1,0,0
5642,45,62499.0,Master,Together,222,1,10,0,0,1,0
2669,31,74293.0,Graduation,Single,1127,0,15,0,1,0,0
455,78,51012.0,PhD,Married,209,0,9,0,0,0,0
7683,56,70777.0,Master,Married,787,1,20,0,1,0,0
3428,33,68682.0,PhD,Together,1598,0,23,0,1,0,0
7414,53,43824.0,Graduation,Married,186,2,8,0,0,1,0
6354,40,15345.0,Graduation,Together,47,1,4,1,0,1,0
798,37,23442.0,Graduation,Single,27,1,4,0,0,1,0
8213,44,14515.0,2n Cycle,Together,96,1,7,1,0,1,0
2488,68,31395.0,2n Cycle,Divorced,64,2,6,0,0,1,0
9999,59,75276.0,Graduation,Together,1040,0,22,0,1,0,0
7617,50,42373.0,Graduation,Single,163,2,8,0,0,1,0
615,64,30507.0,Graduation,Together,343,0,10,0,0,1,0
2552,69,55521.0,PhD,Single,446,3,15,2,0,1,0
194,59,48006.0,Graduation,Married,41,2,4,0,0,1,0
3645,52,27213.0,PhD,Single,70,1,6,1,0,1,0
8890,53,65808.0,PhD,Divorced,272,2,11,0,0,1,0
5049,50,30351.0,PhD,Together,46,1,5,0,0,1,0
9973,61,50437.0,Graduation,Married,490,2,16,0,0,1,0
7301,42,23616.0,2n Cycle,Single,79,1,6,1,0,1,0
10882,48,53858.0,Graduation,Married,915,1,13,0,1,0,0
7030,69,66465.0,PhD,Married,1485,1,32,1,1,0,0
7422,37,46923.0,Graduation,Single,369,1,13,0,0,1,0
3523,62,75072.0,Graduation,Together,1073,1,17,0,1,0,0
7106,81,75865.0,PhD,Married,1242,0,18,0,1,0,0
6504,49,19789.0,2n Cycle,Together,78,1,6,1,0,1,0
5067,30,80134.0,Graduation,Together,1378,0,20,4,1,0,0
4216,43,91065.0,Graduation,Single,1474,0,25,3,1,0,0
8581,53,49505.0,Master,Married,751,2,20,0,0,1,0
5929,51,37401.0,PhD,Married,48,1,5,0,0,1,0
3129,41,30096.0,Graduation,Married,45,1,5,0,0,1,0
6528,42,18492.0,Master,Together,10,1,3,0,0,1,0
1361,50,82584.0,Master,Married,1435,0,15,3,1,0,0
6932,83,93027.0,PhD,Married,2119,0,22,1,1,0,0
7284,71,48686.0,Graduation,Married,20,3,3,0,0,1,0
1340,38,92910.0,Graduation,Married,1795,0,26,3,1,0,0
8746,35,75433.0,Graduation,Married,1188,1,17,2,1,0,0
5987,35,10404.0,2n Cycle,Together,43,1,5,0,0,1,0
3767,56,61314.0,Graduation,Married,1008,1,22,0,1,0,0
3725,63,84865.0,PhD,Single,1688,0,15,5,1,0,0
4324,35,42387.0,Graduation,Married,684,1,16,0,0,1,0
238,57,67309.0,2n Cycle,Together,1082,2,24,0,1,0,0
6694,60,75236.0,Graduation,Married,1068,1,24,0,1,0,0
498,54,30015.0,Graduation,Single,57,1,5,0,0,1,0
9347,68,50943.0,Master,Together,46,1,4,0,0,0,0
9699,58,67272.0,Graduation,Divorced,733,1,20,0,1,0,0
10664,75,51529.0,Master,Widow,467,1,15,0,0,0,0
